newRank,name,newScorePoints,oldScorePoints,rankDelta,oldRank,top20AdoptionCount,top20AdoptionRate,top50AdoptionCount,top50AdoptionRate,top100AdoptionCount,top100AdoptionRate,top800AdoptionCount,top800AdoptionRate,stage1AdoptedTeamCount,beastStage1AvgWinRate,beastStage1MedianWinRate,beastStage1AvgAlive,beastStage1AvgHp,stage1PerformanceIndex
1,闇影ユニコーン,95.85,97.20,0,1,20,1.00000000,48,0.96000000,90,0.90000000,684,0.85500000,9980,0.65625251,0.70000000,0.87671343,1960.7703,1.00000000
2,ケツァカトルス,95.48,97.00,0,2,20,1.00000000,48,0.96000000,88,0.88000000,679,0.84875000,9957,0.65539821,0.70000000,0.87352616,1951.4431,0.99752200
3,怪力コング,80.02,85.00,0,3,18,0.90000000,41,0.82000000,76,0.76000000,386,0.48250000,10089,0.53171771,0.50000000,0.66216672,1346.4335,0.63876804
4,ユウティラヌス,66.13,65.20,0,4,14,0.70000000,30,0.60000000,67,0.67000000,522,0.65250000,9980,0.55686373,0.60000000,0.72875752,1527.5699,0.71170785
5,蒼剣ステゴ,46.24,46.45,0,5,9,0.45000000,24,0.48000000,46,0.46000000,301,0.37625000,9979,0.53090490,0.50000000,0.66605872,1378.2351,0.63641035
6,氷封マンモス,42.29,43.05,0,6,11,0.55000000,17,0.34000000,30,0.30000000,230,0.28750000,10091,0.49888019,0.50000000,0.61878902,1251.2468,0.54351785
7,クリムゾン鳥竜,40.27,41.15,1,8,7,0.35000000,23,0.46000000,47,0.47000000,225,0.28125000,10009,0.49129783,0.50000000,0.60475572,1188.3844,0.52152407
8,雷竜,40.08,41.15,-1,7,9,0.45000000,19,0.38000000,38,0.38000000,200,0.25000000,9964,0.48283822,0.50000000,0.59579486,1166.1987,0.49698569
9,鉱石レックス,26.01,23.50,0,9,4,0.20000000,13,0.26000000,28,0.28000000,246,0.30750000,10014,0.51391053,0.50000000,0.63287398,1246.0464,0.58711560
10,覇王タイガー,24.62,21.35,0,10,3,0.15000000,13,0.26000000,29,0.29000000,272,0.34000000,10027,0.52289817,0.50000000,0.66404707,1440.6933,0.61318564
11,ルミナス鏡竜,13.81,10.05,1,12,1,0.05000000,7,0.14000000,15,0.15000000,193,0.24125000,9953,0.51463880,0.50000000,0.64009846,1283.7642,0.58922808
12,焔尾プテラ,12.00,10.10,-1,11,2,0.10000000,5,0.10000000,11,0.11000000,101,0.12625000,9889,0.45550612,0.50000000,0.55805440,1099.4909,0.41770481
13,羽蛇竜,9.91,7.05,0,13,1,0.05000000,4,0.08000000,12,0.12000000,129,0.16125000,9937,0.45619402,0.50000000,0.54940123,1061.8514,0.41970018
14,黒豹,7.71,4.75,0,14,1,0.05000000,2,0.04000000,7,0.07000000,98,0.12250000,9983,0.46559151,0.50000000,0.56505059,1107.4538,0.44695900
15,ゼフィラックス,6.02,2.50,0,15,0,0.00000000,2,0.04000000,7,0.07000000,121,0.15125000,9990,0.46708709,0.50000000,0.56945946,1104.5094,0.45129716
16,スピノサウルス,4.53,2.20,1,17,0,0.00000000,2,0.04000000,4,0.04000000,91,0.11375000,10025,0.42130673,0.40000000,0.50941646,1011.5415,0.31850433
17,アルファサウルス,3.95,2.20,-1,16,0,0.00000000,2,0.04000000,4,0.04000000,40,0.05000000,10020,0.42539920,0.40000000,0.50539920,945.2559,0.33037515
18,ホワイトサーベル,2.88,0.00,5,23,0,0.00000000,0,0.00000000,0,0.00000000,64,0.08000000,10087,0.45519976,0.50000000,0.55590364,1096.6820,0.41681618
19,横角レックス,1.76,0.10,-1,18,0,0.00000000,0,0.00000000,1,0.01000000,26,0.03250000,9984,0.40010016,0.40000000,0.47567107,947.0861,0.25699146
20,暴王レックス,1.50,0.00,8,28,0,0.00000000,0,0.00000000,0,0.00000000,52,0.06500000,10062,0.37005565,0.30000000,0.44593520,848.6434,0.16984284
21,雷牛,1.15,0.00,8,29,0,0.00000000,0,0.00000000,0,0.00000000,17,0.02125000,10007,0.37585690,0.30000000,0.45199360,854.8655,0.18667023
22,ギガント王竜,1.06,0.00,-2,20,0,0.00000000,0,0.00000000,0,0.00000000,16,0.02000000,9969,0.37113050,0.30000000,0.43591133,797.4832,0.17296061
23,暗黒レックス,0.64,0.00,1,24,0,0.00000000,0,0.00000000,0,0.00000000,8,0.01000000,10031,0.34880869,0.30000000,0.40871299,745.2880,0.10821282
24,アンキロサウルス,0.62,0.00,-5,19,0,0.00000000,0,0.00000000,0,0.00000000,32,0.04000000,10005,0.32689655,0.30000000,0.37942029,721.5695,0.04465335
25,銀霜レックス,0.57,0.00,1,26,0,0.00000000,0,0.00000000,0,0.00000000,25,0.03125000,9995,0.32955478,0.30000000,0.39006503,722.5125,0.05236393
26,彷徨竜,0.57,0.00,4,30,0,0.00000000,0,0.00000000,0,0.00000000,11,0.01375000,9988,0.34103925,0.30000000,0.41065278,813.1591,0.08567637
27,氷翼プテラ,0.56,0.00,0,27,0,0.00000000,0,0.00000000,0,0.00000000,9,0.01125000,10028,0.34216195,0.30000000,0.39836458,713.3125,0.08893293
28,トリケラトプス,0.37,0.00,-6,22,0,0.00000000,0,0.00000000,0,0.00000000,11,0.01375000,10001,0.32773723,0.30000000,0.39506049,779.3833,0.04709185
29,黄金レックス,0.19,0.00,-4,25,0,0.00000000,0,0.00000000,0,0.00000000,3,0.00375000,9958,0.32187186,0.30000000,0.36826672,645.9552,0.03007848
30,ダケントルルス,0.10,0.00,-9,21,0,0.00000000,0,0.00000000,0,0.00000000,8,0.01000000,9998,0.31150230,0.30000000,0.36028206,644.0506,0.00000000
