rank,name,score,top20AdoptionCount,top20AdoptionRate,top50AdoptionCount,top50AdoptionRate,top100AdoptionCount,top100AdoptionRate,adoptedTop20AverageWinRate,previousRank,rankDelta,previousScore,scoreDelta,previousStatus
1,闇影ユニコーン,0.972000,20,1.000000,48,0.960000,90,0.900000,0.984395,2,1,1.000000,-0.028000,ranked
2,ケツァカトルス,0.970000,20,1.000000,48,0.960000,88,0.880000,0.984395,1,-1,1.000000,-0.030000,ranked
3,怪力コング,0.850000,18,0.900000,41,0.820000,76,0.760000,0.984422,6,3,0.387500,0.462500,ranked
4,ユウティラヌス,0.652000,14,0.700000,30,0.600000,67,0.670000,0.984686,3,-1,0.787500,-0.135500,ranked
5,蒼剣ステゴ,0.464500,9,0.450000,24,0.480000,46,0.460000,0.984633,,,,,previously-unranked
6,氷封マンモス,0.430500,11,0.550000,17,0.340000,30,0.300000,0.984445,9,3,0.265000,0.165500,ranked
7,雷竜,0.411500,9,0.450000,19,0.380000,38,0.380000,0.983822,11,4,0.175000,0.236500,ranked
8,クリムゾン鳥竜,0.411500,7,0.350000,23,0.460000,47,0.470000,0.984671,5,-3,0.506000,-0.094500,ranked
9,鉱石レックス,0.235000,4,0.200000,13,0.260000,28,0.280000,0.983550,4,-5,0.645000,-0.410000,ranked
10,覇王タイガー,0.213500,3,0.150000,13,0.260000,29,0.290000,0.983367,10,0,0.263500,-0.050000,ranked
11,焔尾プテラ,0.101000,2,0.100000,5,0.100000,11,0.110000,0.985000,,,,,previously-unranked
12,ルミナス鏡竜,0.100500,1,0.050000,7,0.140000,15,0.150000,0.985400,13,1,0.069500,0.031000,ranked
13,羽蛇竜,0.070500,1,0.050000,4,0.080000,12,0.120000,0.984500,8,-5,0.265000,-0.194500,ranked
14,黒豹,0.047500,1,0.050000,2,0.040000,7,0.070000,0.984500,16,2,0.023000,0.024500,ranked
15,ゼフィラックス,0.025000,0,0.000000,2,0.040000,7,0.070000,0.000000,7,-8,0.360000,-0.335000,ranked
16,アルファサウルス,0.022000,0,0.000000,2,0.040000,4,0.040000,0.000000,15,-1,0.033000,-0.011000,ranked
17,スピノサウルス,0.022000,0,0.000000,2,0.040000,4,0.040000,0.000000,12,-5,0.120500,-0.098500,ranked
18,横角レックス,0.001000,0,0.000000,0,0.000000,1,0.010000,0.000000,20,2,0.001000,0.000000,ranked
19,アンキロサウルス,0.000000,0,0.000000,0,0.000000,0,0.000000,0.000000,21,2,0.000000,0.000000,ranked
20,ギガント王竜,0.000000,0,0.000000,0,0.000000,0,0.000000,0.000000,22,2,0.000000,0.000000,ranked
21,ダケントルルス,0.000000,0,0.000000,0,0.000000,0,0.000000,0.000000,,,,,previously-unranked
22,トリケラトプス,0.000000,0,0.000000,0,0.000000,0,0.000000,0.000000,,,,,previously-unranked
23,ホワイトサーベル,0.000000,0,0.000000,0,0.000000,0,0.000000,0.000000,19,-4,0.001000,-0.001000,ranked
24,暗黒レックス,0.000000,0,0.000000,0,0.000000,0,0.000000,0.000000,18,-6,0.006000,-0.006000,ranked
25,黄金レックス,0.000000,0,0.000000,0,0.000000,0,0.000000,0.000000,23,-2,0.000000,0.000000,ranked
26,銀霜レックス,0.000000,0,0.000000,0,0.000000,0,0.000000,0.000000,24,-2,0.000000,0.000000,ranked
27,氷翼プテラ,0.000000,0,0.000000,0,0.000000,0,0.000000,0.000000,14,-13,0.068500,-0.068500,ranked
28,暴王レックス,0.000000,0,0.000000,0,0.000000,0,0.000000,0.000000,25,-3,0.000000,0.000000,ranked
29,雷牛,0.000000,0,0.000000,0,0.000000,0,0.000000,0.000000,,,,,previously-unranked
30,彷徨竜,0.000000,0,0.000000,0,0.000000,0,0.000000,0.000000,17,-13,0.012000,-0.012000,ranked
